practice_code,practice_name
-,UNIDENTIFIED DOCTORS
00L998,UNIDENTIFIED DOCTORS
00N998,UNIDENTIFIED DOCTORS
00P998,UNIDENTIFIED DOCTORS
00Q998,UNIDENTIFIED DOCTORS
00R998,UNIDENTIFIED DOCTORS
00T998,UNIDENTIFIED DOCTORS
00V998,UNIDENTIFIED DOCTORS
00Y998,UNIDENTIFIED DOCTORS
01A998,UNIDENTIFIED DOCTORS
01D998,UNIDENTIFIED DOCTORS
01G998,UNIDENTIFIED DOCTORS
01H998,UNIDENTIFIED DOCTORS
01J998,UNIDENTIFIED DOCTORS
01K998,UNIDENTIFIED DOCTORS
01W998,UNIDENTIFIED DOCTORS
01Y998,UNIDENTIFIED DOCTORS
02E998,UNIDENTIFIED DOCTORS
02G998,UNIDENTIFIED DOCTORS
02H998,UNIDENTIFIED DOCTORS
02M998,UNIDENTIFIED DOCTORS
02Q998,UNIDENTIFIED DOCTORS
02X998,UNIDENTIFIED DOCTORS
03F998,UNIDENTIFIED DOCTORS
03H998,UNIDENTIFIED DOCTORS
03K998,UNIDENTIFIED DOCTORS
03N998,UNIDENTIFIED DOCTORS
03Q998,UNIDENTIFIED DOCTORS
03R998,UNIDENTIFIED DOCTORS
03W998,UNIDENTIFIED DOCTORS
04C998,UNIDENTIFIED DOCTORS
04V998,UNIDENTIFIED DOCTORS
05D998,UNIDENTIFIED DOCTORS
05W998,UNIDENTIFIED DOCTORS
06H998,UNIDENTIFIED DOCTORS
06N998,UNIDENTIFIED DOCTORS
06Q998,UNIDENTIFIED DOCTORS
07G998,UNIDENTIFIED DOCTORS
07H998,UNIDENTIFIED DOCTORS
10Q998,UNIDENTIFIED DOCTORS
11M998,UNIDENTIFIED DOCTORS
11N998,UNIDENTIFIED DOCTORS
12F998,UNIDENTIFIED DOCTORS
13T998,UNIDENTIFIED DOCTORS
14L998,UNIDENTIFIED DOCTORS
14Y998,UNIDENTIFIED DOCTORS
15A998,UNIDENTIFIED DOCTORS
15E998,UNIDENTIFIED DOCTORS
15F998,UNIDENTIFIED DOCTORS
15M998,UNIDENTIFIED DOCTORS
15N998,UNIDENTIFIED DOCTORS
16C998,UNIDENTIFIED DOCTORS
18C998,UNIDENTIFIED DOCTORS
27D998,UNIDENTIFIED DOCTORS
36J998,UNIDENTIFIED DOCTORS
36L998,UNIDENTIFIED DOCTORS
42D998,UNIDENTIFIED DOCTORS
52R998,UNIDENTIFIED DOCTORS
70F998,UNIDENTIFIED DOCTORS
71E998,UNIDENTIFIED DOCTORS
72Q998,UNIDENTIFIED DOCTORS
78H998,UNIDENTIFIED DOCTORS
84H998,UNIDENTIFIED DOCTORS
8A3A8R,UNIDENTIFIED DOCTORS
8B2M3M,UNIDENTIFIED DOCTORS
8D2P2L,UNIDENTIFIED DOCTORS
8D9Y0V,UNIDENTIFIED DOCTORS
8M1J4Y,UNIDENTIFIED DOCTORS
8M2L0M,UNIDENTIFIED DOCTORS
8W2U3Z,UNIDENTIFIED DOCTORS
8X2C4Y,UNIDENTIFIED DOCTORS
91Q998,UNIDENTIFIED DOCTORS
92A998,UNIDENTIFIED DOCTORS
93C998,UNIDENTIFIED DOCTORS
99A998,UNIDENTIFIED DOCTORS
99C998,UNIDENTIFIED DOCTORS
99E998,UNIDENTIFIED DOCTORS
99F998,UNIDENTIFIED DOCTORS
99G998,UNIDENTIFIED DOCTORS
A81001,THE DENSHAM SURGERY
A81002,QUEENS PARK MEDICAL CENTRE
A81004,ACKLAM MEDICAL CENTRE
A81005,SPRINGWOOD SURGERY
A81006,TENNANT STREET MEDICAL PRACTICE
A81007,BANKHOUSE SURGERY
A81009,VILLAGE MEDICAL CENTRE
A81011,CHADWICK PRACTICE
A81012,WESTBOURNE MEDICAL CENTRE
A81013,BROTTON SURGERY
A81014,QUEENSTREE PRACTICE
A81016,PARK SURGERY
A81017,WOODBRIDGE PRACTICE
A81018,BENTLEY MEDICAL PRACTICE
A81019,CROSSFELL HEALTH CENTRE
A81020,MARTONSIDE MEDICAL CENTRE
A81021,NORMANBY MEDICAL CENTRE
A81022,HILLSIDE PRACTICE
A81023,THE ENDEAVOUR PRACTICE
A81025,THE DOVECOT SURGERY
A81026,LINTHORPE SURGERY
A81027,YARM MEDICAL PRACTICE
A81029,PROSPECT SURGERY
A81030,BOROUGH ROAD & NUNTHORPE MEDICAL GROUP
A81031,HAVELOCK GRANGE PRACTICE
A81032,THE GARTH
A81034,THORNABY & BARWICK MEDICAL GROUP
A81035,NEWLANDS MEDICAL CENTRE
A81036,NORTON MEDICAL CENTRE
A81037,THE ERIMUS PRACTICE
A81038,HIRSEL MEDICAL CENTRE
A81039,EAGLESCLIFFE MEDICAL PRACTICE
A81040,MARSH HOUSE MEDICAL PRACTICE
A81041,HART MEDICAL PRACTICE
A81042,SOUTH GRANGE MEDICAL GROUP PRACTICE
A81044,MCKENZIE HOUSE SURGERY
A81045,THE COATHAM ROAD SURGERY
A81046,WOODLANDS FAMILY MEDICAL CENTRE
A81048,ZETLAND MEDICAL PRACTICE
A81049,KINGS MEDICAL CENTRE
A81051,CAMBRIDGE MEDICAL GROUP
A81052,THE GREEN HOUSE SURGERY
A81053,WOODSIDE SURGERY
A81054,THE SALTSCAR SURGERY
A81056,MELROSE SURGERY
A81057,KINGSWAY MEDICAL CENTRE
A81058,COULBY MEDICAL PRACTICE
A81060,WEST QUAY MEDICAL PRACTICE
A81063,THE HEADLAND MEDICAL CENTRE
A81064,THE DISCOVERY PRACTICE
A81065,THE ESTON SURGERY
A81066,PARK LANE SURGERY
A81067,ALMA MEDICAL CENTRE
A81070,MCKENZIE GROUP PRACTICE
A81602,DR RASOOL
A81608,ELM TREE SURGERY
A81610,THE ROSEBERRY PRACTICE
A81611,PARKWAY MEDICAL CENTRE
A81612,THE PATEL PRACTICE
A81618,HUNTCLIFF SURGERY
A81621,THORNTREE SURGERY
A81622,GLADSTONE HOUSE SURGERY
A81629,RIVERSIDE MEDICAL PRACTICE
A81631,WEST VIEW MILLENIUM SURGERY A
A82003,ULVERSTON MEDICAL PRACTICE
A82004,ALSTON MEDICAL PRACTICE
A82005,AMBLESIDE HEALTH CENTRE
A82006,APPLEBY MEDICAL PRACTICE
A82007,DUKE STREET SURGERY
A82008,NORWOOD MEDICAL CENTRE
A82009,BRIDGEGATE MEDICAL CENTRE
A82010,ABBEY ROAD SURGERY
A82012,BRAMPTON MEDICAL PRACTICE
A82013,UPPER EDEN MEDICAL PRACTICE
A82014,CALDBECK SURGERY
A82015,CARLISLE CENTRAL PRACTICE
A82016,CARLISLE HEALTHCARE
A82018,SPENCER ST SURGERY
A82020,EDEN MEDICAL GROUP
A82021,CASTLEGATE AND DERWENT SURGERY
A82022,DALSTON MEDICAL GROUP
A82023,DISTINGTON SURGERY
A82024,SEASCALE HEALTH CENTRE
A82025,CAPTAIN FRENCH SURGERY
A82026,THE JAMES COCHRANE PRACT.
A82027,STATION HOUSE SURGERY
A82028,CASTLEHEAD MEDICAL CENTRE
A82029,THE CROFT SURGERY
A82030,LUNESDALE SURGERY
A82031,SHAP MEDICAL PRACTICE
A82032,MARYPORT HEALTH SERVICES
A82033,WATERLOO HOUSE SURGERY
A82035,BIRBECK MEDICAL GROUP
A82036,THE LAKES MEDICAL PRACTICE
