practice_code,icb_code,year_month,practice_name,antibiotic_items,antibiotic_quantity,antibiotic_nic,total_all_items,abx_rate_per_1000,cost_per_item,cost_per_quantity
-,-,202511,UNIDENTIFIED DOCTORS,1677,16058,7307.79,13500,124.2222222222222,4.357656529516994,0.4550871839581517
00L998,QHM,202511,UNIDENTIFIED DOCTORS,1,6,0.55,22,45.45454545454545,0.55,0.09166666666666667
00N998,QHM,202511,UNIDENTIFIED DOCTORS,4,56,20.51,39,102.56410256410255,5.1275,0.36625
00P998,QHM,202511,UNIDENTIFIED DOCTORS,6,42,3.94,44,136.36363636363637,0.6566666666666666,0.0938095238095238
00Q998,QE1,202511,UNIDENTIFIED DOCTORS,251,3503,481.00000000000006,347,723.342939481268,1.916334661354582,0.1373108763916643
00R998,QE1,202511,UNIDENTIFIED DOCTORS,13,404,40.12,50,260,3.086153846153846,0.0993069306930693
00T998,QOP,202511,UNIDENTIFIED DOCTORS,76,2559,234.0399999999999,235,323.40425531914894,3.0794736842105253,0.09145760062524422
00V998,QOP,202511,UNIDENTIFIED DOCTORS,17,464,58.650000000000006,465,36.55913978494624,3.45,0.12640086206896553
00X998,QE1,202511,UNIDENTIFIED DOCTORS,1,10,0.99,4,250,0.99,0.099
00Y998,QOP,202511,UNIDENTIFIED DOCTORS,2,200,4.24,15,133.33333333333334,2.12,0.0212
01A998,QE1,202511,UNIDENTIFIED DOCTORS,46,1577,146.11,265,173.58490566037736,3.176304347826087,0.09265060240963856
01D998,QOP,202511,UNIDENTIFIED DOCTORS,11,824,28.4,124,88.70967741935485,2.581818181818182,0.03446601941747573
01G998,QOP,202511,UNIDENTIFIED DOCTORS,1,80,5.86,31,32.25806451612903,5.86,0.07325000000000001
01H998,QHM,202511,UNIDENTIFIED DOCTORS,4,182,18.92,54,74.07407407407408,4.7299999999999995,0.10395604395604396
01J998,QYG,202511,UNIDENTIFIED DOCTORS,5,83,7.73,19,263.1578947368421,1.5459999999999998,0.09313253012048192
01K998,QE1,202511,UNIDENTIFIED DOCTORS,19,942,46.11000000000001,780,24.35897435897436,2.4268421052631584,0.04894904458598727
01W998,QOP,202511,UNIDENTIFIED DOCTORS,7,561,113.04,79,88.60759493670886,16.14857142857143,0.20149732620320857
01Y998,QOP,202511,UNIDENTIFIED DOCTORS,15,683,30.83,147,102.04081632653062,2.0553333333333335,0.04513909224011713
02E998,QYG,202511,UNIDENTIFIED DOCTORS,16,417,25.44,93,172.0430107526882,1.59,0.06100719424460431
02H998,QOP,202511,UNIDENTIFIED DOCTORS,12,522,42.080000000000005,104,115.3846153846154,3.5066666666666673,0.08061302681992338
